executor_instances,executor_memory,driver_memory,machine_type,dag_duration,job_uuid,status
2,512,512,e2-standard-2,1186,4169d0a9-f1c1-46ff-b07e-6ebd8e0bc1a8,success
4,512,512,e2-standard-2,1210,29d4e750-6181-4732-a08e-79d64a83eac6,success
2,550,600,e2-standard-2,1070,156d3180-1d5d-4f48-98b4-47094f055e52,success
4,550,600,e2-standard-2,1060,f730b9d6-88a2-4f94-9d89-dd484d797cdb,success
2,600,750,e2-standard-2,1000,fd0bc14f-ad9f-425e-a82e-237a020c5ad4,success
6,600,750,e2-standard-2,800,e46404d8-b7a5-47d3-b68b-775575280ce6,success
2,512,1024,e2-standard-2,860,14556e32-efd8-4282-b95a-cf12efa5450c,success
5,1024,1024,e2-standard-2,820,3cb7b32f-1af4-481b-9003-e35904d14f1e,success
2,600,512,e2-standard-2,951,6023626f-663f-488d-b409-435ec60032d4,success
5,700,1024,e2-standard-2,700,88aea388-afe3-4060-9c90-f6aafdbd0381,success
2,512,512,e2-standard-2,720,03193133-9249-4e12-a42e-d95d44f41e37,success
2,1024,1024,e2-standard-2,690,869bf9c4-241e-4de5-8d76-7da649ad8cd8,success
5,1024,1024,e2-standard-2,520,45e36ac6-b92c-4f14-a19b-fbc270eb70d5,success
5,512,750,e2-standard-2,500,f0935df4-297b-4767-b6d6-4ca26d2d79b7,success
1,512,1024,e2-standard-2,800,ea508978-197f-459f-81ac-fc27799a833c,success
1,1024,1024,e2-standard-2,810,42dc7e67-5454-4d4d-b286-e8fa097d1e90,success
6,650,512,e2-standard-2,670,ab2be893-786b-4841-a8fc-b762d60d5881,success
6,600,512,e2-standard-2,680,cf7eca28-96cc-42f7-8dd9-c01bc8d3a8a3,success
10,512,2048,e2-standard-2,950,b6f196c6-ae3c-417c-93ca-8fbaf5cdaf2b,success
10,1024,1024,e2-standard-2,920,a85a74c4-9c51-4a40-8997-a39258b9d27d,failed
