executor_instances,executor_memory,driver_memory,machine_type,dag_duration,job_uuid,status,cost
2,512,512,e2-standard-4,439,e81b0dc2-f053-4da7-8e87-7b9c75c9f701,sukces,0.1
1,512,1024,e2-standard-4,458,0c27058c-cd35-4605-9bee-0b062219eacb,niepowodzenie,0.1
2,550,600,e2-standard-4,424,fbbc0c66-ca04-4d04-93e4-ad1598e58042,sukces,0.1
1,1024,1024,e2-standard-4,363,9da9e1a9-3023-4d3c-a437-2a7293cdde67,sukces,0.11
2,600,512,e2-standard-4,436,395f4a6b-ed91-4d44-9d7e-9d4e74f9869a,sukces,0.11
2,600,750,e2-standard-4,425,ce2c981a-eaab-46aa-8992-b300eeb81bd9,sukces,0.12
2,500,1024,e2-standard-4,424,e84ecf32-c90f-4cd2-b87a-e6c9e9719d72,sukces,0.12
2,512,512,e2-standard-4,581,eca4f3e9-8ba4-492d-81d2-bdb8c2ec4c46,sukces,0.13
2,512,1024,e2-standard-4,444,b4336df5-2d9d-4a84-97fe-cb1bd0f08164,sukces,0.13

